gene	Sham-1	Sham-2	12-HETE-1	12-HETE-2
Lcor	2.755861	2.291989	2.882197	3.670704
Slit1	0	0	0.009759	0.054747
Smndc1	6.085425	7.340588	11.133878	10.494028
Mxi1	2.50566	2.66574	15.214025	19.134151
Add3	1.968911	1.387264	2.3966	2.538115
Xpnpep1	12.551623	9.365761	37.275429	36.252327
Trim8	12.43919	10.90276	26.551756	25.417221
Arl3	9.453757	7.919467	16.783718	16.841007
Sfxn2	10.656665	10.855543	2.98293	2.783323
Maoa	1.105137	1.429668	30.92812	34.573017
Fundc1	3.073645	6.611131	5.976534	8.925899
Nt5c2	3.114492	2.646815	14.079555	12.9999
Msr1	4.14792	2.904268	0.116304	0.056247
Pdcd11	6.888885	7.077146	14.415564	14.496155
Taf5	0.981458	1.052536	2.90814	3.256572
Pcgf6	4.524004	3.444306	19.355377	17.107183
5430427O19Rik	0.08011	0	0	0.029952
Gk	15.816523	20.215731	8.769552	11.016471
Slk	8.393357	6.58901	15.616517	18.007378
Col17a1	0	0	0.016656	0.028036
Sfr1	17.34992	16.570597	60.654984	65.857063
Gsto1	55.686642	57.774971	80.613091	77.184052
Gsto2	0	0.074894	0.140967	0.435857
Habp2	72.768585	64.121918	25.986963	20.523127
Casp7	6.85475	7.367971	6.324427	5.465053
Dclre1a	1.359681	3.525635	3.674541	3.550406
Nhlrc2	3.799552	3.644922	11.802035	11.770474
Tdrd1	0	0	0	0.054157
Afap1l2	0.10879	0	0	0
Ablim1	10.439408	6.4164	20.177696	24.516497
Trub1	1.677054	2.298955	3.46261	3.173198
Gfra1	111.368088	116.854088	11.664714	13.098051
Hspa12a	0.279054	0	0.038627	0.064302
Slc18a2	0.184515	0.310174	0.275324	0.117014
3110040N11Rik	7.013432	14.068213	14.038689	12.960155
Btbd1	9.867509	10.204142	17.679873	17.43808
Hdgfrp3	0	0.119611	0.051723	0
Gcgr	69.977707	63.713421	57.600513	43.454556
Bhlhe22	0.029977	0	0.049667	0.063886
Ppp1r27	0	0	0.204399	0.072918
P4hb	408.967163	491.507019	291.654541	283.245514
Arhgdia	32.68959	28.143749	294.599701	288.226807
Ints4	8.055487	9.666647	16.756062	17.083769
Alyref	7.419677	5.639845	11.83996	12.141784
Anapc11	10.893479	3.913677	23.276649	22.44042
Pcyt2	165.787674	153.328598	54.762905	49.230618
Sirt7	12.076458	10.076701	13.528525	13.492108
Tollip	19.732065	16.909803	23.453369	25.255941
Pycr1	0	0.108741	2.41813	0.931811
Aspscr1	38.185062	26.693926	40.205833	46.185955
Cenpx	23.516201	18.114334	21.915396	14.107265
Lrrc45	1.845001	1.55686	5.942021	5.760407
Mob2	10.260168	8.790146	17.163187	10.213472
Maged1	19.508717	16.741426	41.517025	36.439507
Fasn	33.638069	39.542435	87.258598	61.463516
Arhgap19	0.687548	0.333033	0.193908	0.21804
Dus1l	36.38657	38.057091	33.038303	31.326513
Gps1	19.931145	17.480831	60.73571	59.905293
Zdhhc16	4.282757	3.644453	14.652897	15.114811
Rfng	4.137892	3.790258	2.469588	2.882891
Mms19	11.122394	4.819649	5.708997	6.260903
Slc16a3	0.3917	0.070023	47.29179	52.403675
Csnk1d	20.051107	16.411898	51.132633	49.174835
Cd7	0.328296	0.309115	0	0
Ogfod3	3.750207	3.859969	5.715387	4.75076
Rab40b	0	0	0	0.120788
Ubtd1	5.677879	3.352357	10.004388	10.008639
Ankrd2	0.541207	0.275954	0.374451	0.511005
Wdr45b	24.894554	22.455896	21.421598	22.504944
Fn3k	2.898997	4.170284	2.197359	2.730361
Hoga1	48.805019	61.823582	13.328831	13.61769
Pi4k2a	18.717133	16.115599	20.415648	16.208033
R3hcc1l	3.391427	3.356271	4.284417	5.13262
Loxl4	0.26763	0	7.357	10.148245
Hps1	1.118672	0.771958	7.571259	8.816009
Cnnm1	0	0	0.065921	0.133763
Got1	101.039307	118.100883	61.196175	58.396236
Entpd7	1.93394	4.388251	1.270945	1.25013
Cutc	6.581593	6.973321	4.619762	2.692886
Abcc2	98.105392	93.770058	45.372841	43.465103
Dnmbp	6.953948	8.134441	5.332906	4.613948
Cpn1	139.41658	122.639206	74.172249	67.074211
Cyp2c44	122.50322	108.858765	61.23365	64.430412
Erlin1	18.210279	9.383716	9.830023	9.566236
Chuk	38.247044	40.436756	21.924448	23.435356
Cwf19l1	1.953074	1.752389	3.733348	3.497253
Scd3	0	0	0.655148	0.353305
Scd2	9.661098	0.738434	0.889101	0.914729
Ndufb8	76.710167	77.435509	50.47031	53.383652
Sema4g	34.047852	26.504433	5.89465	5.638847
Mrpl43	23.516632	24.15822	60.196301	53.40921
Twnk	5.632898	6.837118	8.7987	7.95194
Sfxn3	0.371776	0.064051	0.616527	0.62697
Kazald1	0	0.3736	0.57611	0.373272
Btrc	1.407765	1.191712	2.972013	2.990584
Poll	1.676081	1.391452	6.093238	3.760975
Mgea5	16.320421	14.710409	20.853027	20.277172
Kcnip2	0	0	0.017779	0.036108
Ldb1	13.181764	11.30661	25.960073	26.418264
Gbf1	18.324871	20.074839	5.379785	5.883992
Nfkb2	1.155354	1.103676	44.958817	40.010815
Fbxl15	2.602184	2.990216	6.294829	5.637041
Mfsd13a	0.48406	0.621846	6.08528	4.682571
Actr1a	19.512365	17.957741	30.746862	29.384258
Pitx3	0.343354	0	0.033431	0.033572
Sufu	0.67247	0.614143	3.995382	4.685
Hexa	18.245174	15.763465	24.877939	23.883034
Arih1	14.19173	14.941751	18.707544	22.135963
Bbs4	1.771188	0.413274	3.514995	3.976149
Adpgk	7.020117	5.394777	7.505312	8.643455
Parp6	1.971047	2.984172	4.877578	4.675646
Limd1	5.235939	3.634398	9.401731	9.604951
Sacm1l	18.803587	21.058508	14.592422	14.721879
Fyco1	4.334941	3.314785	6.149717	5.601499
Slc6a20b	0	0	0.039205	0.017828
Lztfl1	2.248208	2.602796	1.919197	2.621524
Tbl1x	4.753368	4.131114	21.664379	21.57719
Zfhx4	0.59697	0.575702	0.593606	0.595489
Ribc1	0.839756	0.738074	2.631916	2.23873
Hsd17b10	131.39064	132.466003	79.574593	85.585503
Huwe1	40.360901	46.028885	30.040087	32.518242
Fam120c	0.601481	0.768766	0.589514	0.999945
Tsr2	2.468394	3.030444	5.964193	3.519234
Fgd1	0.099001	0	1.214773	1.255775
Gnl3l	7.124326	5.930151	6.566465	7.023215
Maged2	0.999083	0.192089	4.762542	4.614506
Apex2	2.465782	4.164644	1.883742	1.574604
Alas2	44.721062	44.396976	15.84368	18.138462
Pfkfb1	20.156549	25.585823	2.834323	2.231448
Tro	0	0.030615	0.028208	0.006445
Abhd6	10.416287	8.021684	15.818363	16.462372
Flnb	9.939013	11.244982	87.761887	101.119499
Dnase1l3	7.719496	5.123916	0.163238	0.23047
Polr3a	2.315458	3.463657	7.708038	8.205989
Sat1	44.249775	35.81498	145.021881	164.639786
Acot9	0.85709	0.316462	33.79707	38.193295
Prdx4	65.718445	58.061741	68.905731	68.606529
Rps24	107.971062	113.878838	422.154419	439.862183
Ptprj	6.519095	6.222262	11.407226	7.505824
Banp	5.105762	4.287571	4.724743	4.190005
Car5a	27.286016	26.661203	3.168599	2.156222
Jph3	0	0	0	0.007729
Itgb8	0	0.036125	0	0
Sp4	0.368273	0.354315	0.101819	0.424551
Atp10a	0.08987	0.111269	1.560282	1.237283
Ube3a	8.360426	13.57812	7.172021	6.371669
Padi1	0	0	0.014748	0
Padi4	0	0	0.237211	0
Kdm5c	18.060331	17.89386	28.195108	29.663071
Sbds	28.133127	32.30088	84.734116	85.358772
Rabgef1	6.298488	7.418075	13.53453	11.330643
Mettl7b	260.538269	244.794052	52.194439	40.902184
Itga7	2.010938	3.28901	6.83006	5.689943
Rdh5	18.602711	20.258463	16.763166	18.145552
Cd63	5.525281	4.74288	553.56427	529.265625
Gdf11	0.049357	0	0.074961	0.069184
Ormdl2	17.8713	15.792889	15.246661	15.901671
Dnajc14	9.621471	13.447489	15.334471	17.274015
Mmp19	14.979918	14.728822	4.499214	2.6912
Dgka	1.730462	2.131637	0.491892	0.51553
Cdk2	2.092768	1.38784	7.65123	9.795303
Pmel	0	0	0.369748	0.284274
Rps26	117.823227	114.893059	528.46698	467.505951
Pa2g4	30.962381	33.822186	103.609352	92.397568
Esyt1	4.695162	5.28546	18.662861	18.763681
Smarcc2	21.17371	14.849133	17.781157	17.03023
Chmp6	8.118344	7.567808	30.251234	27.31144
Baiap2	4.470099	5.505666	18.197317	14.227767
Rnf41	2.350746	1.939669	7.146123	6.50071
Nabp2	17.601221	24.437593	38.542927	25.130552
Aatk	0.215832	0.250482	0.008577	0
Tepsin	4.076667	3.240579	6.231722	6.560092
Fscn2	0	0	2.150815	0.861595
Cnpy2	59.642769	49.835423	53.179249	45.831841
Il23a	0	0	0.476603	0.559659
Faap100	2.033736	0.606344	7.697998	8.502724
Pde6g	0.089107	0.13491	0.098258	0.124683
Atp5b	559.996948	582.731201	479.02063	491.159882
Prim1	0.947651	0.135697	4.011186	3.586624
Hsd17b6	43.527103	43.180145	29.998238	31.844995
Myo1a	0	0	0.016098	0
Nab2	4.921709	1.955398	1.615781	1.066616
Shmt2	67.564774	60.516239	194.067459	181.892944
R3hdm2	17.662792	24.336767	27.392307	25.969467
Inhbc	22.667822	18.713539	4.269069	2.876822
Gli1	0	0	0.013646	0
Ddit3	7.593916	12.037114	15.342508	15.07135
Mbd6	8.813465	13.552241	4.992362	3.561557
Dctn2	45.219913	40.691757	84.009819	70.741478
Ttc4	9.065572	9.084727	11.122547	12.917786
Pip4k2c	6.484163	5.274078	24.143991	25.920059
Hdhd2	19.406042	19.358982	15.924998	19.653446
Agap2	0.283283	0.482423	0.114826	0.047798
Pias2	5.272361	5.364387	7.953327	9.463461
Rnf165	0	0	0.143251	0.030806
Atp5a1	488.050598	528.146057	236.715805	219.512695
Pstpip2	4.140271	3.325632	1.292564	1.785603
Avil	0	0	0.260136	0.689289
Atp23	1.247509	2.455444	7.45848	7.487868
Usp33	16.749924	17.740532	9.979711	11.585122
Clns1a	13.541306	16.091434	52.640022	47.913857
Paip1	27.506517	28.84861	29.271652	29.61541
Nnt	3.518086	4.304209	1.493062	1.20747
Paox	9.417529	11.430257	2.867406	2.462004
Echs1	95.263596	111.629906	45.691868	29.057827
Fuom	24.568819	20.979986	14.753701	15.808514
Zfp511	4.917214	3.390543	10.93133	11.419951
Adam8	0.063148	0	3.629597	3.091822
Tubgcp2	3.888373	2.876635	10.236664	10.315463
Adgra1	0	0	0.116279	0.128635
Inpp5a	5.902545	5.118541	10.795003	9.838097
Cyp2e1	2149.386475	2457.093018	918.754028	995.997803
Urah	143.272781	137.465332	28.477066	29.45652
Odf3	0	0	0	0.02899
Bet1l	17.902958	19.328545	16.154827	16.820927
Ric8a	11.387494	11.217367	39.220173	34.486176
Sirt3	33.040421	37.868725	11.250928	10.568542
Psmd13	41.003944	40.597191	43.77787	35.003269
Ifitm5	0.244821	0.378485	0	0.51139
Ifitm1	13.884694	12.102523	0.075221	0.899072
Ifitm3	362.512268	286.528625	501.697906	458.339996
Sigirr	6.773164	5.326617	3.803001	3.252904
Ptdss2	1.770476	1.873669	9.116868	9.973009
Drd4	0	0	0.019779	0
Cdhr5	26.900141	22.931036	9.419798	9.001371
Irf7	18.558716	9.307611	48.30637	35.793968
Hras	14.605143	15.697357	21.973991	20.30022
Lmntd2	0	0	0.504601	0.634225
Taldo1	69.969559	59.982944	220.541565	207.436096
Eps8l2	23.485971	11.877357	105.405701	96.923317
Tmem80	1.247202	3.58352	9.912444	8.601913
Pidd1	0.13562	0.270225	2.380545	1.568225
Rplp2	111.831825	113.790695	348.121826	291.608093
Pnpla2	46.188541	63.476139	24.730698	16.569836
Cd151	21.976925	14.955361	70.586662	72.715981
Tspan4	61.27668	59.403423	102.398926	89.802689
Chid1	10.069141	11.04137	5.96383	5.609231
Tmem192	7.689089	7.347167	14.840942	11.546985
Apool	11.112946	11.812846	13.37947	11.656184
Chm	5.158519	7.458745	3.311261	3.948449
Crcp	18.389551	19.998116	13.229151	13.630568
Asl	465.290558	437.372833	79.65966	85.686195
Gusb	11.071147	9.370297	33.20145	29.732565
Phkg1	0	0.062368	0.070997	0.063101
Sumf2	2.612093	1.529569	8.86531	6.247792
Tm9sf2	72.786873	88.909294	62.364887	64.358803
Clybl	19.092525	21.681301	18.928097	19.030373
Farp1	8.238425	6.922073	32.585041	27.679518
Dock9	1.738866	0.792753	4.185267	4.849079
Tnrc6c	2.526384	2.360693	2.017596	1.66534
Tmc6	1.936098	1.360048	8.870852	7.058565
6030468B19Rik	0	0	0	0.018747
Tk1	8.212249	5.029041	3.82205	2.988996
Cant1	8.378012	9.870143	10.408625	11.741133
Rbfox3	0.227532	0	0	0
Cbx2	1.302034	0.956994	3.93703	3.733471
Cbx8	1.035474	1.294929	0.810303	0.643074
Gaa	19.529013	20.115911	42.367054	44.918983
Eif4a3	26.818752	26.38707	54.667591	58.763428
Nptx1	0	0	0.010612	0.144905
Rptor	8.143139	8.37695	12.812112	11.688312
Pde8a	5.032185	4.03597	5.551649	7.040658
Cpeb1	0.290003	0.464661	21.194719	28.620213
Nat1	0.186052	0.560316	0.164402	0.29216
Tma16	1.596959	1.827839	10.351125	11.770596
Klhl4	0	0	0.030894	0
Zfp202	0.209652	0.104502	1.611153	2.708691
Copg2	7.911167	4.996687	5.296882	6.957867
Podxl	0.986581	0.637647	2.412995	2.698261
Mkln1	24.199793	10.851059	5.926458	6.53119
Bach1	14.542308	13.307428	18.628532	20.444256
Cct8	78.934883	58.043629	101.911247	109.140915
Usp16	21.641592	22.31509	12.337349	12.490404
Phf6	1.216196	1.067612	1.620277	2.328272
Hprt	37.835484	40.269222	81.00103	88.268494
Ccdc51	5.802348	6.020334	5.493671	6.320624
Atrip	2.059798	0.966718	4.176297	2.976969
Shisa5	16.384193	8.669556	35.653984	30.299612
Pfkfb4	0.211105	0.173461	0.844538	1.237558
Col7a1	0	0	0.196155	0.272376
Uqcrc1	112.191536	115.540123	129.816391	111.962578
Arhgef9	0.148538	0.149929	0.095917	0.153272
Rps6ka6	0	0	0.106122	0.06741
Tmem47	1.325407	1.148335	0.0963	0.098213
March8	26.093206	18.337021	28.840551	13.754754
Wdr73	4.647599	3.863781	27.523241	31.045094
Nmb	0	0.315498	1.402471	2.458639
Sec11a	36.265526	51.145004	34.031219	41.674416
Slc28a1	0	0	0	0.038786
A930017K11Rik	0	0	0.021805	0.044285
Pigq	12.016867	11.358399	12.935946	7.357812
Rab40c	3.411424	2.605416	8.715556	7.361655
Mettl26	70.666382	65.54863	51.081215	50.21521
Fam195a	26.861214	32.348595	30.743435	24.978764
Rhot2	9.547314	12.040429	13.938591	11.249663
Rhbdl1	0.72642	0.413959	1.65957	1.482774
Jmjd8	9.948121	16.29385	6.094427	3.625813
Wdr24	4.156738	4.349624	10.339272	10.224587
Fbxl16	0	0.072435	0.183003	0.086965
Prps2	2.294133	2.25449	3.778881	4.535414
Sdc3	12.886143	6.998179	0.737013	0.849811
Hadha	106.154243	137.656845	51.173923	48.933308
Il6	0	0	0.046864	0
Tyms	2.307193	0.894403	1.733005	1.307645
Hspa4l	2.299225	4.595375	7.876607	8.462296
Plk4	0.721613	0.340566	1.238283	2.232369
Mfsd8	3.784088	5.525252	3.013153	2.742273
Larp1b	30.73995	32.304474	18.645056	17.05398
Jade1	8.811418	10.550405	6.204051	5.860842
D3Ertd751e	1.343969	1.560808	0.179547	0.164935
Gdap1	0	0	0.014019	0.045831
Ly96	3.169056	3.672501	8.087365	10.843464
Itih5	2.266958	1.740365	0.77449	0.721085
Atp5c1	145.875	158.327286	98.710564	92.908333
Taf3	1.182426	2.227375	4.047451	3.166018
Clec3b	0	0.305997	0.089202	0
Exosc7	15.343978	16.637024	21.905846	20.273403
Zdhhc3	5.295074	6.639016	10.952374	13.069681
Tgm4	0.210012	0	0.053128	0.066566
Slco3a1	1.204298	0.278533	0.476495	0.619893
Pgm2	72.103157	69.650978	187.529617	204.706726
Slc25a10	48.072884	49.536976	31.928825	33.932648
Hgs	19.628571	21.008398	56.107838	55.317768
Rpl14	111.444542	111.202461	414.394897	395.114319
Rassf3	24.568243	21.0114	30.50441	24.216003
Ccr1	0.56543	0.142865	0	0
Ccdc7a	0	0	0.025925	0
Itgb1	42.334576	44.25914	96.20652	103.526314
Nrp1	25.748833	20.393358	18.954018	20.280325
Pard3	19.089397	22.868252	24.618538	21.492727
Homer2	6.154255	7.434446	5.338758	3.091919
Dhtkd1	7.939668	6.605732	1.100666	0.874081
Sec61a2	2.250639	0.806214	7.735166	9.198211
Nudt5	4.668585	5.69887	12.857778	13.864279
Zfp282	1.250296	0.615081	5.043162	4.978766
Pdia4	98.296204	195.936829	34.566956	37.304695
Iscu	51.134567	61.698593	54.638962	51.753784
Fam20c	5.892247	5.655467	25.009144	22.039509
Prkar1b	0	0	0.404656	0.244903
Pdgfa	0.496746	0.966771	36.431747	40.840702
Dnaaf5	2.524345	2.752091	13.192806	13.758938
Get4	16.953588	19.275278	90.59494	81.910965
Xiap	15.987019	16.399418	10.193778	10.533533
Stag2	6.905605	10.481873	8.338851	8.165812
Cplx2	0.183077	0.102243	0.033703	0.034225
Higd2a	68.663895	64.973099	61.068081	53.097153
Nop16	14.75502	16.482193	43.209755	33.398918
Arl10	1.73938	1.605422	16.821695	12.981576
4833439L19Rik	31.548864	26.466583	18.364386	18.091124
Thoc3	9.879917	8.928997	21.058834	21.126633
Faf2	13.91795	12.811193	22.615673	22.410616
Tspan17	0.561467	0.121162	5.880009	5.641175
Unc5a	0.075277	0.125604	0.041574	0
Hk3	0.560546	0.276484	0.298568	0.30392
Uimc1	10.190677	10.560743	13.242982	13.952852
Smad7	3.695648	2.292293	6.473134	8.437234
Myo5b	3.718117	4.052314	16.32863	16.91876
Casp12	0.454109	0.114591	0.083528	0.021223
Casp1	0.400415	1.008343	0	0.037555
Kbtbd3	0.216698	0.262474	0.453253	0.663677
Aasdhppt	8.020229	8.323414	6.402236	8.226892
Cwf19l2	4.567813	3.448037	3.105913	2.924483
Alkbh8	1.564216	0.868896	2.063033	1.818303
Sox17	0.616687	1.181994	0.911573	0.73117
Lypla1	45.291416	46.088066	18.375069	20.634596
Rb1cc1	18.598709	21.338921	4.917777	5.660875
Sntg1	0.049431	0	0	0
Adhfe1	54.669472	54.060627	8.473103	9.691804
Mybl1	0	0	1.089818	1.090921
Sgk3	2.423652	2.266041	3.775606	4.599464
Ppp1r42	0	0	1.488873	1.42727
Cops5	34.778095	32.988827	56.468357	55.925587
Stau2	0.791782	0.295251	2.606759	3.115114
Rdh10	5.509313	4.984801	12.217744	13.263941
Terf1	2.665499	3.09217	8.043042	5.503793
Msc	0.137132	0	0.045157	0
Paqr8	0	0.037966	0.030953	0.063287
Tmem14a	1.110479	1.463862	0.478967	0.791832
Gsta3	473.069855	625.559631	124.075417	116.641235
Tram1	37.955822	45.859051	43.645294	45.283192
Lactb2	45.110744	45.661751	17.060236	18.653965
Slco5a1	0	0	0.039016	0.006607
Ube2w	9.158527	10.249652	5.819601	7.916912
Tmem70	18.670786	22.254555	14.907777	18.232809
Pth2r	0	0	0.113446	0.057058
Pikfyve	1.872904	5.491874	6.109392	5.542866
Idh1	172.323349	180.275223	69.564766	61.802509
Mettl21a	1.679955	2.393377	4.751796	6.560628
Creb1	3.330688	4.531665	5.236231	5.734523
Klf7	0.626931	0.784571	5.465006	6.2163
4933402D24Rik	0	0	0.081928	0
Fastkd2	4.802811	6.013577	6.109133	6.527556
Adam23	4.17629	3.527109	0	0
Eef1b2	72.671349	79.855644	189.043793	170.721786
Ndufs1	56.872646	60.491192	22.547722	27.696222
Nrp2	1.535241	1.378294	2.061318	2.188699
Maip1	4.952586	4.173045	6.548153	5.327236
Rftn2	0.040059	0.232499	0.060226	0.100226
Mob4	13.45266	11.941797	6.55827	7.079622
Hspd1	145.521362	157.57074	172.340042	176.506256
Coq10b	24.402552	27.63513	18.739931	21.714705
Sf3b1	25.687466	26.255682	24.420237	28.187981
Ccdc150	0	0	0	0.013794
Slc39a10	1.154439	1.258022	3.619682	3.421125
Cps1	916.04126	1036.422241	50.209858	54.325031
Slc40a1	22.514196	15.091936	44.848793	44.383705
Wdr75	8.973553	7.395481	19.236401	18.391077
Ikzf2	0.054024	0	0	0
Lancl1	5.835835	5.008781	6.595658	6.602304
Acadl	67.02681	80.86451	27.352327	27.988371
Kansl1l	1.308049	2.172839	1.597772	1.507172
Rpe	10.383903	10.901608	5.040361	8.890508
Icos	0.185581	0	0.034164	0
Cd28	0.092243	0.185737	0	0.012933
Raph1	30.286577	32.90847	5.159164	4.785687
Carf	0.927163	0.643168	0.656343	0.87296
Ica1l	0	0	0.060433	0.022839
Wdr12	3.784794	5.601059	11.203181	10.856494
Nop58	10.258329	22.633032	17.104435	19.19154
Sumo1	13.471211	18.26376	29.927343	30.514767
Cdk15	0	0	0	0.023206
Als2	11.143414	10.554116	14.255837	12.972037
Stradb	12.56243	9.06065	6.352013	6.434453
Trak2	9.84569	8.49389	11.303558	13.489176
Casp8	14.268787	13.764169	9.722925	8.206366
Cflar	22.837847	30.128542	10.87752	14.360353
Ndufb3	56.947372	62.486172	30.643051	34.076775
Clk1	30.558868	35.763477	12.394818	14.523117
Ppil3	5.887713	7.130007	17.895121	20.691883
Nif3l1	4.147445	3.575712	10.37322	9.967188
Orc2	1.771767	1.848288	5.245121	5.888156
Sgol2a	0	0	0.442269	0.469139
Col5a2	2.052353	0.1066	0.157302	0.050888
Col3a1	14.14876	5.502655	0.0199	0
Kdelc1	3.50405	3.299839	6.032099	5.137037
Ercc5	4.938944	6.116014	6.17127	7.160755
Tex30	4.559366	3.078599	8.973349	7.593811
1500015O10Rik	0	0	0	0.055534
Ptp4a1	46.754986	41.126728	52.483624	73.195198
Il18rap	0.123024	0.041392	0	0
Il18r1	0.192379	0.194677	0	0
Il1r1	84.707726	65.07164	2.412097	1.904324
Il1r2	0.706445	0	0	0
Map4k4	4.227105	3.37604	13.442548	12.786573
Npas2	0	0	0.852125	0.053088
Pdcl3	5.225132	4.491993	12.089864	14.4209
Rev1	2.988663	2.448689	10.155115	8.72453
Eif5b	14.153662	15.925259	20.580027	21.888584
Mrpl30	47.03717	44.477852	54.280746	52.304909
Mitd1	6.182376	4.337777	7.390405	8.372832
2010300C02Rik	0.086529	0	0.011668	0
Stk17b	2.584402	2.551394	2.528747	2.59422
Asnsd1	16.164312	13.955544	22.619232	22.392153
Osgepl1	5.178709	6.455358	4.145943	5.201175
Ormdl1	5.700139	6.02119	9.616981	9.312752
Pms1	0.949216	1.174812	1.137068	1.520544
Inpp1	2.542203	3.306226	4.725162	3.431935
Gls	0.490844	1.089176	9.289005	11.762499
Stat1	21.460575	14.990608	17.498337	15.303764
Nabp1	7.975878	13.097279	50.291519	61.034206
Mgat4a	0.231871	0.111351	0.026723	0.108496
Unc50	11.816159	14.869906	18.216122	22.473276
Coa5	19.870327	17.562416	33.817265	33.467342
Inpp4a	5.058371	3.83749	4.086833	4.688757
Tmem131	6.55582	5.722878	10.356938	11.401628
Zap70	2.049229	2.442422	0.436093	1.012487
Sema4c	1.102134	0.388905	1.461956	0.70948
Plekhb2	5.043467	2.798713	14.698983	16.039524
Ptpn18	0.257203	0.194708	0.035511	0.066911
Imp4	5.765605	6.074205	19.36414	19.221878
Dst	36.487274	34.382023	78.288048	67.939514
Prim2	0.911549	0.456907	2.02936	1.179147
Zfp142	0.828389	0.782874	5.658654	5.151334
Rhbdd1	6.43392	5.025445	18.182518	15.736715
Tm4sf20	0	0	0.324709	0.170937
Mff	22.174669	20.085331	21.291437	26.109184
Fam135a	4.370502	5.384274	10.47402	13.359174
Sdhaf4	14.369007	15.428946	10.332801	9.342371
Smap1	6.570558	7.608192	21.592976	23.169842
B3gat2	0.981853	0.832022	0.890639	1.187002
Ogfrl1	3.268797	3.903032	1.759253	2.307291
Agfg1	3.944207	4.125483	31.751131	33.245571
Cyp27a1	233.33725	226.583832	135.689987	118.772903
Rnf25	9.15003	8.20765	15.641098	13.745851
Bcs1l	4.527175	5.831358	4.127823	2.741149
Plcd4	0.007866	0	0.066932	0.012328
Cnot9	3.9783	4.927387	12.452837	14.129749
Vil1	0	0	1.034713	0.654578
Ctdsp1	29.746031	24.494982	28.124407	26.296116
Slc11a1	9.202252	3.698053	1.947898	1.41555
Pnkd	17.96143	15.311807	16.720915	16.766279
Cxcr2	0.362011	0.23585	0	0
Ppm1f	5.531404	4.617014	18.168982	16.450499
Igfbp5	0.584175	0.435272	0.027654	0.037442
Xrcc5	8.69487	8.778728	11.679769	11.269963
Tmem169	0	0	0.075632	0.057602
Pecr	100.819252	109.199104	30.818203	32.007668
Atic	8.88796	9.423415	62.294308	59.948448
Fn1	648.67041	572.596741	592.059937	667.400696
Bard1	0.086763	0	0.073079	0.089113
Zfand2b	15.335888	12.564334	17.729818	14.630457
Abcb6	18.617798	17.733032	20.073765	17.196487
Ankzf1	7.175303	10.023225	7.340078	7.999172
Glb1l	1.303423	0.59364	1.240992	1.233062
Stk16	26.837336	29.402784	20.980268	21.462423
Tuba4a	18.272211	25.477852	47.505669	41.511837
Dnajb2	13.661645	19.436121	37.700905	34.699612
Ptprn	0.055658	0	0.310274	0.432384
Slc23a3	0	0	0.263193	0.232088
Speg	0.018562	0	0.082861	0.449711
Des	0.495911	0.726203	0	0.018567
Dnpep	17.933357	30.378803	31.900217	28.801064
Obsl1	0.123563	0.035635	0.053607	0.019117
Stk11ip	1.446975	1.911057	7.19061	9.144624
Trip12	28.741619	26.30092	33.20784	41.091209
Sp100	5.011012	4.753257	0.612678	0.169152
Itm2c	13.420849	12.945202	28.156498	24.539705
4933407L21Rik	0	0	0.026642	0
2810459M11Rik	17.905537	17.451281	12.372316	9.107275
Htr2b	0	0	0.155094	0.549514
Psmd1	34.63932	36.266876	45.673527	43.716713
Ncl	32.224461	36.133587	116.340271	123.140373
Epha4	0.079207	0.031654	0.008749	0
Ptma	95.041489	87.420731	203.680771	222.685989
Pde6d	2.904228	3.274605	18.936203	20.584318
Cops7b	1.042855	1.160416	4.606088	3.239035
Nppc	0	0	0.159216	0.431631
Farsb	18.891956	24.280336	23.41461	22.620489
Mrpl44	13.421165	13.645431	27.137129	24.208565
Serpine2	1.615807	1.472415	0.333268	0.239709
Eif4e2	21.543705	30.970798	82.379593	73.681961
Efhd1	0	0	0.059722	0
Ngef	2.321197	2.788931	1.564805	1.46173
Ndufa10	61.60347	72.237373	37.384216	38.2444
Rnpepl1	18.767992	22.589979	21.275679	19.010056
Capn10	8.323266	8.02448	4.409426	4.531456
Gpr35	0.237884	0.304246	0.136983	0.30707
Agxt	128.687119	122.667465	30.349461	29.089148
Mterf4	4.504866	8.336551	10.369607	9.671849
Pask	0	0	0.906675	1.611291
Ppp1r7	1.894476	6.140236	2.953362	3.651201
Sept2	7.680759	14.680071	10.081813	14.654884
Stk25	17.225618	15.089755	23.354399	25.778221
Bok	4.712274	5.02072	4.169244	6.014064
Thap4	2.448509	1.070988	6.166416	8.134035
Atg4b	9.393902	7.953413	11.910774	12.282988
Dtymk	10.695866	13.827972	38.013733	36.144367
Ing5	2.009743	1.290944	4.904125	4.904017
Pdcd1	0	0	0.057179	0.058259
Inpp5d	1.423176	0.448378	0.032834	0.17339
Atg16l1	14.312083	14.841222	23.389313	26.176508
Spp2	59.269737	60.084007	52.253246	46.934029
Mlph	0.026282	0.031487	0.012305	0.049984
Rab17	8.242436	9.072808	5.38802	4.450219
Lrrfip1	10.855346	11.728201	56.004436	63.595963
Scly	25.519773	32.059399	19.406721	18.752563
Klhl30	0	0	0.035845	0.136318
Ilkap	14.056653	13.334325	18.340424	14.827312
Asb1	1.612837	1.60301	0.597502	0.899945
Hdac4	1.468114	1.477784	5.12816	7.027076
